name,position,team
Ronnie Stutter,FWD,Chelsea
Andros Townsend,MID,Luton
Daniel Gore,MID,Man Utd
Zack Nelson,MID,Luton
Valintino Adedokun,DEF,Brentford
Benicio Baker-Boaitey,MID,Brighton
Reuell Walters,DEF,Arsenal
Amadou Diallo,MID,Newcastle
Alfie Dorrington,DEF,Spurs
Mark O’Mahony,FWD,Brighton
Treymaurice Nyoni,MID,Liverpool
Ben Parkinson,FWD,Newcastle
Charles Sagoe,MID,Arsenal
Myles Peart-Harris,MID,Brentford
Bradley Ibrahim,MID,Arsenal
Yegor Yarmoliuk,MID,Brentford
Joshua Duffus,MID,Brighton
Michael Ndiweni,FWD,Newcastle
Joe Hugill,FWD,Man Utd
Ben Jackson,DEF,Brighton
Justin Hubner,DEF,Wolves
Leigh Kavanagh,DEF,Brighton
Vincent Angelini,GK,Brentford
Matthew Whittingham,MID,Wolves
Yago de Santiago Alonso,MID,Spurs
Tawanda Chirewa,MID,Wolves
Leo Castledine,MID,Chelsea
Conor Bradley,DEF,Liverpool
Marcelo de Araújo Pitaluga Filho,GK,Liverpool
Luca Barrington,MID,Brighton
Sydie Peck,MID,Sheffield Utd
Myles Lewis-Skelly,MID,Arsenal
Tayo Adaramola,DEF,Crystal Palace
Elijah Campbell,DEF,Everton
Mahamadou Susoho,MID,Man City
Jenson Metcalfe,MID,Everton
Sam Proctor,GK,Aston Villa
Willy Kambwala,DEF,Man Utd
Tommi O'Reilly,MID,Aston Villa
Owen Hesketh,MID,Wolves
Ty Barnett,MID,Wolves
Rhys Bennett,DEF,Man Utd
Ethan Nwaneri,MID,Arsenal
Micah Hamilton,MID,Man City
Kaelan Casey,DEF,West Ham
Lewis Orford,MID,West Ham
Joe Gardner,FWD,Nott'm Forest
Oliver Scarles,DEF,West Ham
Owen Beck,DEF,Liverpool
Detlef Esapa Osong,FWD,Nott'm Forest
Ben Brereton,MID,Sheffield Utd
Yerson Mosquera,DEF,Wolves
Callum Marshall,FWD,West Ham
Jamie McDonnell,MID,Nott'm Forest
Timo Werner,FWD,Spurs
Kaide Gordon,MID,Liverpool
Radu Dragusin,DEF,Spurs
James Wright,GK,Aston Villa
Cameron Peupion,MID,Brighton
Harvey Griffiths,MID,Wolves
Đorđe Petrović,GK,Chelsea
Travis Hernes,MID,Newcastle
Ivo Grbic,GK,Sheffield Utd
Kristian Sekularac,MID,Fulham
Max Kinsey-Wellings,DEF,Bournemouth
Romain Faivre,MID,Bournemouth
Kaine Kesler-Hayden,DEF,Aston Villa
Cesare Casadei,MID,Chelsea
Noha Lemina,MID,Wolves
Daniel Muñoz,DEF,Crystal Palace
Benjamin Fredrick,DEF,Brentford
Joe White,MID,Newcastle
Hákon Valdimarsson,GK,Brentford
Adam Wharton,MID,Crystal Palace
Daiki Hashioka,DEF,Luton
Rodrigo Duarte Ribeiro,FWD,Nott'm Forest
Enes Ünal,FWD,Bournemouth
Morgan Rogers,MID,Aston Villa
Matz Sels,GK,Nott'm Forest
Maxime Esteve,DEF,Burnley
Joshua King,MID,Fulham
Giovanni Reyna,MID,Nott'm Forest
Lorenz Assignon,DEF,Burnley
Fabian Mrozek,GK,Liverpool
Mauro Bandeira,MID,Arsenal
Dominic Sadi,MID,Bournemouth
Jacob Wright,MID,Man City
Lewis Koumas,FWD,Liverpool
Valentín Barco,DEF,Brighton
James Sweet,DEF,Arsenal
Franco Umeh-Chibueze,FWD,Crystal Palace
Billy Blacker,FWD,Sheffield Utd
Ollie Harrison,MID,Chelsea
Oliver Arblaster,MID,Sheffield Utd
Jayden Danns,FWD,Liverpool
Joe Gauci,GK,Aston Villa
Ishé Samuels-Smith,DEF,Chelsea
Sam Curtis,DEF,Sheffield Utd
Dovydas Sasnauskas,DEF,Sheffield Utd
Toby Collyer,MID,Man Utd
Max Kinsey,DEF,Bournemouth
Kaden Rodney,MID,Crystal Palace
George Earthy,MID,West Ham
Jimi Tauriainen,MID,Chelsea
Habeeb Ogunneye,DEF,Man Utd
Axel Piesold,MID,Luton
Wesley Okoduwa,DEF,Wolves
Leon Chiwome,FWD,Wolves
Benjamin Arthur,DEF,Brentford
Amara Nallo,DEF,Liverpool
Dermot Mee,GK,Man Utd
Dominic Dos Santos Martins,MID,Luton
Josh Acheampong,DEF,Chelsea
Lewis Warrington,MID,Everton
Fletcher Holman,FWD,Wolves
Samy Chouchane,MID,Brighton
Roshaun Mathurin,MID,Crystal Palace
Christian Chigozie,DEF,Luton
Odeluga Offiah,DEF,Brighton
Harry Amass,DEF,Man Utd
Teddy Sharman-Lowe,GK,Chelsea
Taylan Harris,FWD,Luton
Tyrique George,FWD,Chelsea
Michael Dacosta Gonzalez,MID,Bournemouth
Ethan Wheatley,FWD,Man Utd
Kiano Dyer,MID,Chelsea
Owen Hampson,MID,Sheffield Utd
Callan McKenna,GK,Bournemouth
Louis Jackson,DEF,Man Utd
Finley Munroe,DEF,Aston Villa
Temple Ojinnaka,MID,Wolves
Mikey Moore,MID,Spurs
Ted Curd,GK,Chelsea
Zak Sturge,DEF,Chelsea
Tyrese Hall,MID,Spurs
Noël Atom,DEF,Brighton
Lander Emery,GK,Aston Villa
Kadan Young,MID,Aston Villa
Billy Crellin,GK,Everton
Yunus Konak,MID,Brentford
