name,position,team
Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest
Máximo Perrone,MID,Man City
Daniel Bentley,GK,Wolves
Naouirou Ahamada,MID,Crystal Palace
André Ayew,MID,Nott'm Forest
Pedro Porro,DEF,Spurs
Jhon Durán,FWD,Aston Villa
Jeremiah Chilokoa-Mullen,DEF,Leeds
Diogo Pinheiro Monteiro,DEF,Leeds
Oliwier Zych,GK,Aston Villa
Sil Swinkels,DEF,Aston Villa
Lewis Miley,MID,Newcastle
Kaelan Casey,DEF,West Ham
George Wickens,GK,Fulham
Charlie Robinson,DEF,Fulham
George Shelvey,GK,Nott'm Forest
Romaine Mundle,MID,Spurs
Reuell Walters,DEF,Arsenal
Sebastian Revan,DEF,Aston Villa
Michael Olakigbe,MID,Brentford
James Wright,GK,Aston Villa
Travis Patterson,MID,Aston Villa
George Abbott,MID,Spurs
Marc Jurado Gomez,DEF,Man Utd
Tom McGill,GK,Brighton
Ishé Samuels-Smith,DEF,Everton
Andy Lonergan,GK,Everton
Tommi O'Reilly,MID,Aston Villa
Cameron Peupion,MID,Brighton
Matthew Dibley-Dias,MID,Fulham
Imari Samuels,DEF,Brighton
Matthew Craig,MID,Spurs
Dominic Ballard,FWD,Southampton
Nico O'Reilly,MID,Man City
Alfie Gilchrist,DEF,Chelsea
Mauro Bandeira,MID,Arsenal
Shea Charles,MID,Man City
Kamari Doyle,MID,Southampton
Sean McAllister,MID,Everton
Tayo Adaramola,DEF,Crystal Palace
Ethan Wady,GK,Chelsea
Alex Robertson,MID,Man City
Mark Gillespie,GK,Newcastle
Samuel Amo-Ameyaw,MID,Southampton
Yago de Santiago Alonso,MID,Spurs
