name,position,team
Vitor de Oliveira Nunes dos Reis,DEF,Man City
Thomas Frank,AM,Brentford
Marco Alexandre Saraiva da Silva,AM,Fulham
Pep Guardiola,AM,Man City
Abdukodir Khusanov,DEF,Man City
Andrés García,DEF,Aston Villa
Omar Marmoush,FWD,Man City
Nuno Herlander Simões Espírito Santo,AM,Nott'm Forest
Vítor Manuel de Oliveira Lopes Pereira,AM,Wolves
Kieran McKenna,AM,Ipswich
Ruben Filipe Marques Diogo Amorim,AM,Man Utd
Mikel Arteta,AM,Arsenal
Ruud van Nistelrooij,AM,Leicester
Andoni Iraola,AM,Bournemouth
Oliver Glasner,AM,Crystal Palace
Ange Postecoglou,AM,Spurs
Enzo Maresca,AM,Chelsea
Graham Potter,AM,West Ham
Ivan Juric,AM,Southampton
Eddie Howe,AM,Newcastle
Albert Grønbæk,MID,Southampton
Unai Emery,AM,Aston Villa
Jack Porter,GK,Arsenal
Romain Esse,MID,Crystal Palace
David Moyes,AM,Everton
Arne Slot,AM,Liverpool
